,Id,Elderly_ratio,Median_age,White_ratio,Black_ratio,Asian_ratio,Others_ratio,commute_up60min_ratio,Noschooling_ratio,Master_ratio,Spanish_lan_ratio,Europe_lan_ratio,Asian_lan_ratio,Other_lan_ratio,Median_income,Social_security_income_ratio,Unemplyed_ratio,Vacant_ratio,Householders,Hoseholders_Ratio,White_household_ratio,Black_household_ratio,Asian_household_ratio,Household_15_34_ratio,Household_35_64_ratio,Household_65over_ratio,gas_ratio,LPgas_ratio,Electricity_ratio,FuelOil_ratio,Coal_ratio,Wood_ratio,Solar_ratio,Otherfuel_ratio,Nofuelused_ratio,Median_contract_rent,Per_capita_income,BG,BBL,Full_Address,normalized_gap
16,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002730020.0,"197 MADISON STREET New York, NY 10002",0.05
17,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002830041.0,"127 EAST BROADWAY New York, NY 10002",0.0
18,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002830004.0,"113 HENRY STREET New York, NY 10002",-0.272727272727
19,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002830007.0,"121 HENRY STREET New York, NY 10002",-0.8
20,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002830091.0,"115 DIVISION STREET New York, NY 10002",-1.375
21,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002830066.0,"150 EAST BROADWAY New York, NY 10002",-0.142857142857
22,1500000US360610006001,24.05,42.2,20.42,3.63,70.2,5.75,1.82,9.98,9.23,0.0,0.0,29.5,0.0,32222,24.36,10.29,8.17,416.0,62.93,9.86,5.77,38.94,8.46,58.21,33.33,57.69,0.0,19.23,18.51,0.0,0.0,0.0,0.0,4.57,842,36538.0,360610006001,1002830063.0,"144 EAST BROADWAY New York, NY 10002",0.125
23,1500000US360610006002,21.66,51.3,12.5,0.0,52.53,34.97,8.73,6.57,2.12,4.92,0.0,12.43,0.0,23676,15.7,5.09,5.27,1132.0,38.14,16.08,0.0,16.87,4.24,65.64,30.12,67.31,0.0,28.27,2.92,0.0,0.0,0.0,0.0,1.5,495,12271.0,360610006002,1002480015.0,"82 RUTGERS SLIP New York, NY 10002",-0.0151515151515
24,1500000US360610006003,46.57,56.6,11.06,0.0,85.1,3.84,0.0,15.02,8.96,0.0,4.19,25.96,0.0,19318,25.03,0.0,0.0,314.0,36.55,18.47,0.0,44.27,0.0,41.75,58.25,40.76,6.37,17.52,30.89,0.0,0.0,0.0,4.46,0.0,299,19563.0,360610006003,1002857501.0,"179 HENRY STREET New York, NY 10002",-0.16
25,1500000US360610006003,46.57,56.6,11.06,0.0,85.1,3.84,0.0,15.02,8.96,0.0,4.19,25.96,0.0,19318,25.03,0.0,0.0,314.0,36.55,18.47,0.0,44.27,0.0,41.75,58.25,40.76,6.37,17.52,30.89,0.0,0.0,0.0,4.46,0.0,299,19563.0,360610006003,1002850013.0,"203 HENRY STREET New York, NY 10002",-0.8
26,1500000US360610006003,46.57,56.6,11.06,0.0,85.1,3.84,0.0,15.02,8.96,0.0,4.19,25.96,0.0,19318,25.03,0.0,0.0,314.0,36.55,18.47,0.0,44.27,0.0,41.75,58.25,40.76,6.37,17.52,30.89,0.0,0.0,0.0,4.46,0.0,299,19563.0,360610006003,1002840011.0,"173 HENRY STREET New York, NY 10002",0.285714285714
27,1500000US360610006003,46.57,56.6,11.06,0.0,85.1,3.84,0.0,15.02,8.96,0.0,4.19,25.96,0.0,19318,25.03,0.0,0.0,314.0,36.55,18.47,0.0,44.27,0.0,41.75,58.25,40.76,6.37,17.52,30.89,0.0,0.0,0.0,4.46,0.0,299,19563.0,360610006003,1002840026.0,"169 EAST BROADWAY New York, NY 10002",-0.142857142857
28,1500000US360610006003,46.57,56.6,11.06,0.0,85.1,3.84,0.0,15.02,8.96,0.0,4.19,25.96,0.0,19318,25.03,0.0,0.0,314.0,36.55,18.47,0.0,44.27,0.0,41.75,58.25,40.76,6.37,17.52,30.89,0.0,0.0,0.0,4.46,0.0,299,19563.0,360610006003,1002850017.0,"217 EAST BROADWAY New York, NY 10002",0.5
29,1500000US360610006003,46.57,56.6,11.06,0.0,85.1,3.84,0.0,15.02,8.96,0.0,4.19,25.96,0.0,19318,25.03,0.0,0.0,314.0,36.55,18.47,0.0,44.27,0.0,41.75,58.25,40.76,6.37,17.52,30.89,0.0,0.0,0.0,4.46,0.0,299,19563.0,360610006003,1002850015.0,"207 HENRY STREET New York, NY 10002",-0.1
30,1500000US360610006004,15.81,48.1,16.36,6.67,76.97,0.0,1.75,6.12,1.11,0.0,0.0,18.11,0.0,10351,9.45,2.54,7.69,360.0,28.59,11.39,2.5,35.0,4.17,79.44,16.39,40.56,8.06,0.0,51.39,0.0,0.0,0.0,0.0,0.0,710,6626.0,360610006004,1002710037.0,"207 MADISON STREET New York, NY 10002",-0.05
31,1500000US360610006004,15.81,48.1,16.36,6.67,76.97,0.0,1.75,6.12,1.11,0.0,0.0,18.11,0.0,10351,9.45,2.54,7.69,360.0,28.59,11.39,2.5,35.0,4.17,79.44,16.39,40.56,8.06,0.0,51.39,0.0,0.0,0.0,0.0,0.0,710,6626.0,360610006004,1002710048.0,"170 HENRY STREET New York, NY 10002",-0.0232558139535
